Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
2370,25309578190,4,1.0,0.6666669845581055,3,1,2,2021-09-07,This is like my nightly holy grail! Ever since I bought this I NEED it to sleep at night! Without it I feel incomplete. It makes my dry lips so moisturized when I wake up and my lips don’t feel chapped at all! You can even use it as a lip balm underneath your mask or even throughout the day and you don’t need to reapply for hours!,,lightMedium,brown,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2371,25248000372,5,1.0,1.0,3,0,3,2021-09-07,"This is the best lip balm ever. I just received it and have been wearing it all day (not just at night) and it has stayed on. Most balms need to be reapplied, but not this. It is soothing, smoothing and very hydrating, without pilling (I’ve noticed some balms actually pill on the lips :(). It is rather thick, so it wouldn’t work under lipstick unless you wanted to lighten the color of the lipstick. The scent is super light (almost unscented, which is ok with me). The applicator is cute but not necessary.",Luxurious,light,green,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2372,1680164898,5,1.0,1.0,2,0,2,2021-09-06,"One of the best lip balms out there. Looks great, keeps dry lips at bay, smells nice, lasts.",,light,brown,oily,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2373,1347075507,5,1.0,0.5,4,2,2,2021-09-06,"I have a weird condition where my lip gets fire burning hot when I eat spicy food. This is the only lip product that keeps that problem at bay!! It’s also incredibly my soft and smells amazing. I am crazy about lip products, and this takes the cake! I am a forever laneige fan!",,fair,green,combination,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2374,5255503764,5,1.0,1.0,2,0,2,2021-09-05,"I expected this to be silly and not do anything but it’s THE BEST. I’m totally sold. My lips are the best ever. Also, this is going to last like a year.",BEST EVER,light,blue,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2375,9183560055,5,1.0,,0,0,0,2021-09-05,Received this in a subscription box and fell in love. I need to purchase a full size because I’m obsessed.,,light,blue,combination,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2376,32875986947,5,1.0,1.0,1,0,1,2021-09-05,"I get why people say that the Gummy Bear scent smells like grape, but I do smell some gummy bear in there, too. I like it so far, it’s too soon to tell whether or not it’s going to make any real difference, but lips have felt soft all day, and I’ve not had my usual dryness, so that’s promising.",,fair,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2377,9032220445,5,1.0,1.0,8,0,8,2021-09-05,"this lip mask is the only thing that saved me from dryness on accutane! I’m so happy I found it, now being off the medication this stuff is still really nice to use. Feels so silky and luxurious - would 100% recommend trying this if you struggle with chapped lips. I used it during the day and the night as it’s a cute look as well :)",amazing!!!,lightMedium,green,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2378,27916047621,4,1.0,1.0,1,0,1,2021-09-04,"This product is worth it if you like the sensory experience of wearing a comfortable and nice smelling lip mask that comes in cute packaging. But if you’re buying this just for the moisture there are better alternatives out there. I have very dry lips but I treat them by using a glycerin based moisturizer followed by a bit of mineral oil as my nightly lip mask. Honestly this product is just as good as my 2 step routine. I feel it moisturizes well, lasts a long time, and the scent is not overpowering. My only problem with it is that my inexpensive concoction works just as well and is only 1/3 of the price.I’d still purchase this for the convenience and for nice scent. Hope they bring peach back!",,fair,brown,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2379,10664457577,2,0.0,1.0,2,0,2,2021-09-04,Hydrates like the original but smells like grape cough medicine. Will definitely go back to the berry scent,Not a fan of the gummy bear scent,fair,green,oily,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
